"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Target 2015","Agency Baseline Capability","Target 2016","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Status","Latest Actual Result Met/Not Met (derived)","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
009-000000706,333,"	009","Department of Health and Human Services","HRSA - OIT Electronic Handbooks (EHBs)",3380,"	285825","Application availability to users",Percent,"1 - Customer Satisfaction (Results)",95,,95,"Over target",Monthly,,171775,285825-20160708,96,,Met,,2016-07-08,,2016-08-26,01:09:32
009-000000706,333,"	009","Department of Health and Human Services","HRSA - OIT Electronic Handbooks (EHBs)",3381,"	285826","Page load speed",Seconds,"1 - Customer Satisfaction (Results)",3,,3,"Under target",Monthly,,171776,285826-20160708,3,,Met,,2016-07-08,,2016-08-26,01:09:32
009-000000706,333,"	009","Department of Health and Human Services","HRSA - OIT Electronic Handbooks (EHBs)",21007,"	341333","Reduction of overall cost to maintain EHBs for Bureaus and Offices",Percent,"3 - Financial Performance",1,,1,"Over target",Annual,,157157,341333-20160111,1,,Met,,2016-01-11,,2016-08-26,01:09:32
009-000001359,334,"	009","Department of Health and Human Services","IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements",3155,"	290764","Activities and Technology: Data Integrity Verification Results - percent of reported results are delivered within 5 business days of the due date for the Quarterly reporting period.",percentage,"1 - Customer Satisfaction (Results)",100,,100,"Over target",Monthly,"675 - Improve health care and population health through meaningful use of health information technology",171777,290764-20160731,100,,Met,,2016-07-31,n,2016-08-26,01:09:35
009-000001359,334,"	009","Department of Health and Human Services","IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements",3156,"	290765","Activities and Technology: Security Certification and Accreditation - percent of security requirements are met within 5 business days of agreed upon date with OIT Security and are acceptable.",percentage,"2 - Strategic and Business Results",95,,95,"Over target",Monthly,"675 - Improve health care and population health through meaningful use of health information technology",171778,290765-20160731,100,,Met,,2016-07-31,n,2016-08-26,01:09:35
009-000001359,334,"	009","Department of Health and Human Services","IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements",3157,"	290766","Activities and Technology: Data mart availability except during scheduled maintenance - percentage of service availability per the Service Level Agreements.",percentage,"2 - Strategic and Business Results",95,,95,"Over target",Monthly,"675 - Improve health care and population health through meaningful use of health information technology",171779,290766-20160731,100,,Met,,2016-07-31,n,2016-08-26,01:09:35
009-000001359,334,"	009","Department of Health and Human Services","IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements",5759,"	318313","Results: System documentation - percent of documentation is reviewed, modified, and delivered within 7 business days of scheduled due dates",percentage,"1 - Customer Satisfaction (Results)",95,,95,"Over target",Monthly,"675 - Improve health care and population health through meaningful use of health information technology",171780,318313-20160731,100,,Met,,2016-07-31,n,2016-08-26,01:09:35
009-000001359,334,"	009","Department of Health and Human Services","IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements",5761,"	318314","Results: System backups - percent of backups are completed within 2 business days of scheduled due dates",percentage,"2 - Strategic and Business Results",95,,95,"Over target",Monthly,"675 - Improve health care and population health through meaningful use of health information technology",171781,318314-20160731,100,,Met,,2016-07-31,n,2016-08-26,01:09:35
009-000001359,334,"	009","Department of Health and Human Services","IHS - National Patient Information Reporting System (NPIRS) - - Maintenance and Enhancements",20267,"	341095","Investment actual costs are within 10% or less of planned expenditures",percentage,"3 - Financial Performance",90,,90,"Over target",Annual,"675 - Improve health care and population health through meaningful use of health information technology",157862,341095-20150930,90,,Met,,2015-09-30,n,2016-08-26,01:09:35
009-000006263,335,"	009","Department of Health and Human Services","IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3308,"	283469","Domain Controller availability except during scheduled maintenance.","% ","1 - Customer Satisfaction (Results)",99.98,,99.98,"Over target",Monthly,"674 - Ensure access to quality, culturally competent care, including long-term services and supports, for vulnerable populations",171824,283469-20160808,99.98,,Met,,2016-08-08,n,2016-08-26,01:09:58
009-000006263,335,"	009","Department of Health and Human Services","IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3309,"	283470","Email SLA availability during normal business hours except during scheduled maintenance.","% ","2 - Strategic and Business Results",99.9,,99.9,"Over target",Monthly,"674 - Ensure access to quality, culturally competent care, including long-term services and supports, for vulnerable populations",171825,283470-20160808,100,,Met,,2016-08-08,n,2016-08-26,01:09:58
009-000006263,335,"	009","Department of Health and Human Services","IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3310,"	283471","Circuit availability (Area, Rockville/Albuquerque, Access to Internet) ",%,"1 - Customer Satisfaction (Results)",99.9,,99.9,"Over target",Monthly,"674 - Ensure access to quality, culturally competent care, including long-term services and supports, for vulnerable populations",171826,283471-20160808,99.91,,Met,,2016-08-08,n,2016-08-26,01:09:58
009-000006263,335,"	009","Department of Health and Human Services","IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3311,"	283472","Availability of IHS public-facing web pages, including IHS Home Page, and the IHS search engine except during scheduled maintenance. ","% ","2 - Strategic and Business Results",99.74,,99.74,"Over target",Monthly,"674 - Ensure access to quality, culturally competent care, including long-term services and supports, for vulnerable populations",171827,283472-20160808,99.81,,Met,,2016-08-08,n,2016-08-26,01:09:58
009-000006263,335,"	009","Department of Health and Human Services","IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",3312,"	283473","Responses to the Help Desk customer service satisfaction data calls, with a ""satisfied or higher rating.","% ","1 - Customer Satisfaction (Results)",95,,95,"Over target",Monthly,"674 - Ensure access to quality, culturally competent care, including long-term services and supports, for vulnerable populations",171828,283473-20160808,100,,Met,,2016-08-08,n,2016-08-26,01:09:58
009-000006263,335,"	009","Department of Health and Human Services","IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",5763,"	317966","Antivirus definition dates are current for all Windows based systems. ",%,"2 - Strategic and Business Results",96,,96,"Over target",Monthly,"674 - Ensure access to quality, culturally competent care, including long-term services and supports, for vulnerable populations",171829,317966-20160808,99.39,,Met,,2016-08-08,n,2016-08-26,01:09:58
009-000006263,335,"	009","Department of Health and Human Services","IHS Infrastructure, Office Automation, & Telecommunications (I/OA/T)",20269,"	341075","Investment actual costs are within 10% or less of planned expenditures.",%,"3 - Financial Performance",90,,90,"Over target",Annual,"674 - Ensure access to quality, culturally competent care, including long-term services and supports, for vulnerable populations",157739,341075-20151019,90,,Met,,2015-10-19,n,2016-08-26,01:09:58
009-000001362,336,"	009","Department of Health and Human Services","IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements",3388,"	291904","Average days in accounts receivable for small ambulatory clinics",Number,"1 - Customer Satisfaction (Results)",62,,62,"Under target",Quarterly,,169114,291904-20160630,47.6,,Met,,2016-06-30,n,2016-08-26,01:09:36
009-000001362,336,"	009","Department of Health and Human Services","IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements",3390,"	291906","Percentage of classroom attendees surveyed rated an 80% satisfaction level or better with Trainer",Percentage,"1 - Customer Satisfaction (Results)",80,,80,"Over target",Quarterly,,171782,291906-20160731,85.58,,Met,,2016-07-31,n,2016-08-26,01:09:36
009-000001362,336,"	009","Department of Health and Human Services","IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements",3391,"	291907","Percentage of National OIT Help Desk  Tickets for RPMS Closed Within 30 Days of Creation",Percentage,"2 - Strategic and Business Results",75,,75,"Over target",Monthly,,171783,291907-20160731,52.52,,"Not Met",,2016-07-31,n,2016-08-26,01:09:36
009-000001362,336,"	009","Department of Health and Human Services","IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements",3392,"	292941","Percentage of patients identified by RPMS Clinical Decision Support logic as at-risk who have a comprehensive assessment for all Cardiovascular Disease-related risk factors",Percentage,"2 - Strategic and Business Results",47.3,,53.3,"Over target",Annual,"675 - Improve health care and population health through meaningful use of health information technology",148465,292941-20150831,55,,Met,"Results collected in Sept of FY",2015-08-31,n,2016-08-26,01:09:36
009-000001362,336,"	009","Department of Health and Human Services","IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements",3393,"	292942","Percentage of adults ages 18 and over as identified by RPMS Clinical Decision Support tools who are screened for depression.",Percentage,"2 - Strategic and Business Results",64.3,,67.2,"Over target",Annual,"47191 - Improve the timeliness of initiation into treatment for individuals with serious mental illness.",148466,292942-20150831,67.4,,Met,"Results collected in Sept of FY",2015-08-31,n,2016-08-26,01:09:36
009-000001362,336,"	009","Department of Health and Human Services","IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements",21009,"	341080","90% of actual investment costs are within 10% or less of planned expenses",Percentage,"3 - Financial Performance",90,,90,"Over target",Annual,,157987,341080-20150930,90,,Met,,2015-09-30,n,2016-08-26,01:09:36
009-000001408,337,"	009","Department of Health and Human Services","NIH ES Business Intelligence System (NBIS)",3409,"	289355","Service  available for use by the customers within the agreed service time",Percentage,"2 - Strategic and Business Results",99.9,99,99.9,"Over target",Monthly,"680 - Increase our understanding of what works in public health and human service practice",171790,289355-20160731,99.95,,Met,,2016-07-31,n,2016-08-26,01:09:41
009-000001408,337,"	009","Department of Health and Human Services","NIH ES Business Intelligence System (NBIS)",3410,"	289356","Percentages of tickets resolved within 30 days",Percentage,"1 - Customer Satisfaction (Results)",95,95,95,"Over target",Monthly,,171791,289356-20160731,96.5,,Met,,2016-07-31,n,2016-08-26,01:09:41
009-000001408,337,"	009","Department of Health and Human Services","NIH ES Business Intelligence System (NBIS)",3411,"	289357","Number of NIH employees using the business intelligence capability","Number of Users","2 - Strategic and Business Results",2000,2000,2000,"Over target",Semi-Annual,"695 - Improve laboratory, surveillance, and epidemiology capacity",171792,289357-20160731,2000,,Met,,2016-07-31,n,2016-08-26,01:09:41
