"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Legislative Mandate Required","Legislative Mandate Description","Audit Finding Resolution Required","Audit Finding Resolution Description","Published Agency Strategic Performance Plan Required","Published Agency Strategic Performance Plan Description","Presidential Priority Required","Presidential Priority Description","Other Requirement Required","Other Requirement Description","Updated Date","Updated Time"
018-000000054,1553,"	018","Department of Education","Integrated Student Experience (ISE)",yes,"E-Government Act of 2002:  To promote the use of the Internet and emerging technologies within and across Government agencies to provide citizen-centric Government information and services.",no,,yes,"FSA Strategic Goal A Provide Superior Service and Information to Students and Borrowers - ISE/StudentAid.gov serves as the main source of information to these audiences; FSA Strategic Goal C Development efficient processes and effective capabilities. ISE creates more efficient processes by working across the enterprise to streamline digital tools.",yes,"Executive Order 13571, ISE is ED's signature initiative in streamlining service delivery and improving customer service. ISE is also a result of Presesidential Memo issued June 2012 on increased online repayment options for borrowers.",no,,2014-09-12,17:03:30
021-078461582,1555,"	021","Department of Transportation","FAAXX102: Terminal Flight Data Manager (TFDM)",no,,no,,yes,"The TFDM investment will support the following FAA Strategic Initiatives 2014 - 2018 and DOT Strategic Goals 2012 - 2016:
 -  Next Level of Safety 
 -  Workplace of Choice 
-  Organizational Excellence  
 -  Deliver Aviation Access 
-  State of Good Repair          
-  Economic Competitiveness 
-  Sustaining our Future Environmental Sustainability 
-  Improve Global Performance through Collaboration.",no,,no,,2015-09-17,18:27:15
018-000000125,1559,"	018","Department of Education","Enterprise Architecture and Engineering (EAE)",no,"Not Applicable.",no,"Not Applicable.",yes,"FSA Strategic Plan update is in process.",no,"Not applicable.",no,"Not applicable.",2014-09-18,14:03:20
007-000001038,1561,"	007","Department of Defense","Army Medical CIO Management Operation",no,.,no,.,yes,"Strategic goal: To preserve, enhance, sustain and strengthen the health of the All-Volunteer Force, and total workforce.
This initiative promotes the strategic goal through the collection of health data that will be used for day-to-day operational healthcare decision-making and management.",no,.,no,.,2016-02-04,19:18:13
007-000100392,1563,"	007","Department of Defense","Mission Planning Systems - Hardware Technical Refresh",no,.,no,.,yes,"United States Air Force Command and Control Core Function Team
Masterplan; dated 22 August 2012; approved by Gen Gilmary M. Hostage III,
Commander, Air Combat Command.",no,.,yes,"The requirement for this investment is documented in Air Force Mission
Support Operational Requirements Document (July 2004) and the Mission
Planning System Increment IV Capability Decision Document v1.3 (March
2004).",2014-10-01,14:22:22
007-000100393,1565,"	007","Department of Defense","Mission Planning System Modernization",no,.,no,.,yes,"United States Air Force Command and Control Core Function Team
Masterplan; dated 22 August 2012; approved by Gen Gilmary M. Hostage III,
Commander, Air Combat Command.",no,.,no,.,2014-10-01,14:22:53
007-000001371,1567,"	007","Department of Defense","NAVY STANDARD INTEGRATED PERSONNEL SYSTEM",no,.,no,.,yes,"The Under Secretary of the Navy and OPNAV N1 approved the strategy to update the personnel system by leveraging NSIPS. The OSD DCMO signed off on the strategy in the 22 Oct 13 ADM. This fully complies with OPNAV N1''s strategic plans.",no,.,no,.,2014-10-01,14:32:49
007-000001136,1569,"	007","Department of Defense","BASE-LEVEL INFORMATION INFRASTRUCTURE (OCONUS NAVY ENTERPRISE NETWORK (ONE-NET))",no,.,no,.,yes,"Base Level Information Infrastructure (BLII) aligns to US Fleet Cyber Command Strategic Plan 2015-2020 Goal One, Operate the Network as a Warfighting Platform, by providing the network which is utilized for assured command and control, modernizing and sustaining the infrastructure to counter and reduce Intrusion Attack Surface, and Goal Four, Create Shared Cyber Situational Awareness, by actively implementing capability to enable shared cyber situational awareness.",no,.,yes,"Commander U.S. Naval Forces Europe Mission Need Statements (CCIPs), March 2000, July 2001, January 2002 & March 2002 Commander U.S. Pacific Fleet Mission Need Statement (CCIP), March 2002 Commander U.S. Naval Forces Central Mission Need Statement (CCIP), July 2001
Defense Planning Guidance 1997.",2016-02-04,19:44:29
007-000004030,1573,"	007","Department of Defense","JOINT INTEROPERABILITY TEST COMMAND (JITC)",no,.,no,.,yes,"This investment is aligned with the DoDs IRM Strategic Plan and DISA Strategic Plan.  All of DISA''s activities support information resource management. Therefore, DISA''s Strategic Plan also serves as the Agency''s IRM Strategic Plan. Our Plan reflects strong, direct linkages among the, DoD Strategic Plan, DoD Chief Information Office Strategic Plan, and the IT Enterprise Strategy and Roadmap (ITESR).

Key Objective 4.4.
Provide efficient, responsive interoperability testing, and test, evaluation, and certification (TE&C) capabilities and environments.",no,.,yes,"DoDs IRM Strategic Plan. Direct linkages among the DoD Strategic Plan, DoD Chief Information Office Strategic Plan, and the IT Enterprise Strategy and Roadmap (ITESR).",2016-02-05,12:46:53
007-000004940,1579,"	007","Department of Defense","National Capital Region Medical Directorate Information Technology Operations",no,.,no,.,yes,"Provides the infrastructure support to promote ""Emphasize care for and
strengthening of our people and their families - to improve medical
readiness, advance wellbeing."" NCRMDITO supports the Department of Defense (DoD) Strategic Goal to ""Preserve and enhance the All-Volunteer Force . It specifically
provides the data collection capability support to the DoD Strategic
Objective: ""Provide top-quality physical and psychological care to
wounded warriors, while reducing growth in overall healthcare costs .
It also supports the DoD Strategic Management Plan Business Goal 1:
""Support the All-Volunteer Force and its derivative objectives of the
following: ""Provide high quality and cost-effective health care and
support to the Total Force and their families ; and ""Demonstrate
commitment to wounded warriors through high quality care and
support .",no,.,no,.,2015-10-13,17:27:11
007-000006357,1581,"	007","Department of Defense","Air Force District of Washington IT Support",no,.,no,.,yes,"Provide program management support to ensure the IT support services requirements are met within schedule, fulfill customer requirements, and ensure customer satisfaction.",no,.,no,.,2014-10-01,14:53:54
007-000001040,1585,"	007","Department of Defense","Navy Medical CIO Management Operation",no,.,no,.,yes,"Strategic goal: To preserve, enhance, sustain and strengthen the health of the All-Volunteer Force, and total workforce.
This initiative promotes the strategic goal through the collection of health data that will be used for day-to-day operational healthcare decision-making and management.",no,.,no,.,2016-02-04,19:19:59
007-000001950,1587,"	007","Department of Defense","Medical Information Technology Support & Operations",no,.,no,.,yes,"Strategic goal: To preserve, enhance, sustain and strengthen the health of the All-Volunteer Force, and total workforce.
This initiative promotes the strategic goal through the collection of health data that will be used for day-to-day operational healthcare decision-making and management.",no,.,no,.,2016-02-04,20:06:09
