Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
007-000003757,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,0.0
007-999993758,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,926-All Subfunctions Related To Collaboration,762-Collaboration,7-Service Types and Components,0,0.0
007-000003760,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003761,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
007-000003763,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003766,Non Major,280-Command and Control,103-Defense and National Security,1-Services for Citizens,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
007-000003770,Non Major,279-Battlespace Networks,103-Defense and National Security,1-Services for Citizens,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003772,Non Major,279-Battlespace Networks,103-Defense and National Security,1-Services for Citizens,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,63.354
007-000003773,Non Major,282-Protection,103-Defense and National Security,1-Services for Citizens,928-All Subfunctions Related To Communication,764-Communication,7-Service Types and Components,0,0.0
007-000003776,Non Major,279-Battlespace Networks,103-Defense and National Security,1-Services for Citizens,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
007-000003783,Non Major,280-Command and Control,103-Defense and National Security,1-Services for Citizens,924-All Subfunctions Related To Human Capital / Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.876
007-000003787,Non Major,064-Training and Employment,119-Workforce Management,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003788,Non Major,255-Employee Performance Management,403-Human Resource Management,4-Management of Government Resources,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003792,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003793,Non Major,281-Force Application,103-Defense and National Security,1-Services for Citizens,928-All Subfunctions Related To Communication,764-Communication,7-Service Types and Components,0,0.0
007-000003795,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003797,Non Major,279-Battlespace Networks,103-Defense and National Security,1-Services for Citizens,928-All Subfunctions Related To Communication,764-Communication,7-Service Types and Components,0,0.0
007-000003801,Non Major,045-Criminal Investigation and Surveillance,115-Law Enforcement,1-Services for Citizens,911-All Subfunctions Related To Document Management,732-Document Management,7-Service Types and Components,0,0.0
007-000003802,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003805,Non Major,280-Command and Control,103-Defense and National Security,1-Services for Citizens,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003810,Non Major,263-System and Network Monitoring,404-Information and Technology Management,4-Management of Government Resources,906-All Subfunctions Related To Management of Process,721-Management of Process,7-Service Types and Components,0,0.0
007-000003812,Non Major,023-Environmental Monitoring and Forecasting,108-Environmental Management,1-Services for Citizens,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
007-000003813,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003814,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,921-All Subfunctions Related To Financial Management,753-Financial Management,7-Service Types and Components,0,0.0
007-000003816,Non Major,281-Force Application,103-Defense and National Security,1-Services for Citizens,913-All Subfunctions Related To Records Management,734-Records Management,7-Service Types and Components,0,0.0
007-000003819,Non Major,280-Command and Control,103-Defense and National Security,1-Services for Citizens,929-All Subfunctions Related To Systems Management,765-Systems Management,7-Service Types and Components,0,0.0
007-000003824,Non Major,279-Battlespace Networks,103-Defense and National Security,1-Services for Citizens,915-All Subfunctions Related To Visualization,742-Visualization,7-Service Types and Components,0,0.0
007-000003827,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,911-All Subfunctions Related To Document Management,732-Document Management,7-Service Types and Components,0,0.064
007-000003828,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,919-All Subfunctions Related To Data Management,751-Data Management,7-Service Types and Components,0,0.0
007-000003829,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,920-All Subfunctions Related To Human Resources,752-Human Resources,7-Service Types and Components,0,0.0
007-000003831,Non Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,909-All Subfunctions Related To Supply Chain Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
007-000003832,Non Major,141-Record Retention,404-Information and Technology Management,4-Management of Government Resources,913-All Subfunctions Related To Records Management,734-Records Management,7-Service Types and Components,0,0.0
007-000003834,Non Major,280-Command and Control,103-Defense and National Security,1-Services for Citizens,928-All Subfunctions Related To Communication,764-Communication,7-Service Types and Components,0,34.277
007-000003835,Non Major,105-Budget Execution,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,921-All Subfunctions Related To Financial Management,753-Financial Management,7-Service Types and Components,0,0.0
007-000003836,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,922-All Subfunctions Related To Asset / Materials Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
