"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Agency Baseline Capability","Target 2018 PY","Target 2019 CY","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",8039,"	21534","SWIM seeks to make airport surface data services readily available to consumers through the SWIM Terminal Data Distribution System (STDDS). The intent is to increase the count of towers providing data to consumers each year in an effort to provide data from all ASDE-X, TDLS, and EFSTS airports and over 100 RVR airports.",Number,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,89323,"	26258",77.000000,,2014-03-26,y,2017-11-07,15:50:51
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",21975,"	30793","In an effort to provide SWIM information and data to all users that want this data, SWIM is committed to adding more users each year and to continuously measuring an increase in the number of users, both NAS-internal (e.g., Traffic Flow Management System (TFMS), Terminal Flight Data Manager (TFDM), Traffic Management Units) and external (e.g., airline operations centers, port authorities, R&D organizations).",Number,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,141947,"	35020",15.000000,,2015-05-14,y,2017-11-07,15:50:51
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",21977,"	30794","The average time it takes to provide SWIM Service for direct subscribers' requests. This is measured as the time between SWIM first receiving the request and SWIM providing the data.",Months,"1 - Customer Satisfaction (Process Results)",,,,"Under target",Semi-Annual,,141949,"	35021",4.400000,,2015-06-03,y,2017-11-07,15:50:51
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",21979,"	30795","In an effort to provide a wide range of valuable NAS data to internal and external users, SWIM is committed to adding more NAS data services each year and to continuously measuring an increase in the number of data services available.",Number,"2 - Strategic and Business Results",,,,"Over target",Semi-Annual,,153480,"	43032",3.000000,,2015-09-15,y,2017-11-07,15:50:51
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",21981,"	30796","SWIM's Actual Costs should vary from the Budgeted Costs by no more than 10 percent.",Percentage,"3 - Financial Performance",,10.000000,10.000000,"Under target",Semi-Annual,"021SO18098 - System Operations and Performance",213383,"	69647",3.000000,,2017-09-29,n,2018-09-18,13:09:29
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",23997,"	41489","NEMS Restoration Time - Compare the restoration time of NEMS against the target of less than 180 minutes",Number,"2 - Strategic and Business Results",,,,"Under target",Semi-Annual,,167206,"	44932",153.400000,,2016-05-13,y,2017-11-07,15:50:51
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",23998,"	41490","NEMS Latency - Compare the Maximum message latency time of NEMS against the target of less than 1 second.",Number,"2 - Strategic and Business Results",,,,"Under target",Semi-Annual,,167207,"	44933",0.100000,,2016-05-09,y,2017-11-07,15:50:51
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",23999,"	41491","Number of NEMS milestones and goals achieved per criteria used for award fee",Number,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,173544,"	47287",17.000000,,2016-06-30,y,2017-11-07,15:50:51
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",25204,"	46871","SWIM seeks to readily make available TRACON position data to subscribers by offering the Terminal Automation Information Service through the SWIM Terminal Data Distribution System (STDDS). The intent is to increase the number of TRACONS providing data to consumers each year in an effort to provide a wide selection of available site data.",Number,"1 - Customer Satisfaction (Process Results)",,0.000000,0.000000,"Over target",Semi-Annual,"021SO18098 - System Operations and Performance",184137,"	50435",78.000000,,2017-02-06,n,2018-09-18,13:09:29
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",25205,"	46872","STDDS shall publish data received from STDDS producers to NEMS within one second (mean) of receipt of the input ",Seconds,"2 - Strategic and Business Results",,1.000000,1.000000,"Under target",Semi-Annual,"021SO18098 - System Operations and Performance",226803,"	72250",0.081000,"Under target, met target.",2018-04-02,n,2018-09-18,13:09:29
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",25206,"	46873","STDDS shall have a Mean Time Between Failures (MTBF) of at least 499.5 hours",Hours,"2 - Strategic and Business Results",,499.500000,499.500000,"Over target",Semi-Annual,"021SO18098 - System Operations and Performance",213385,"	69649",885.400000,,2017-09-29,n,2018-09-18,13:09:29
021-620588994,375,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX703: System Wide Information Management (SWIM)",26348,"	63726","Average service availability of STDDS. An analysis will be performed as a ratio between the time available divided by the total time in a period. ",Percentage,"2 - Strategic and Business Results",,99.900000,99.900000,"Over target",Semi-Annual,"021SO18098 - System Operations and Performance",226804,"	72251",99.900000,"Met target",2018-04-02,n,2018-09-18,13:09:29
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",21961,"	31570","Requirements growth not to exceed 10% of baseline requirements",Percent,"2 - Strategic and Business Results",,10.000000,,"Under target",Quarterly,,188034,"	50982",4.200000,,2017-02-28,y,2017-09-15,14:18:13
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",21967,"	31573","Estimate At Complete not to exceed 10% of Baseline Change Decision",Percent,"3 - Financial Performance",,10.000000,,"Under target",Monthly,,196791,"	52805",1.000000,,2017-04-30,y,2017-09-15,14:18:13
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",24000,"	41464","Deploy SAS to all field sites",Percent,"2 - Strategic and Business Results",,99.000000,,"Over target",Monthly,,196792,"	52806",100.000000,,2017-04-30,y,2017-09-15,14:18:13
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",24001,"	41465","Achieve Final Investment Decision for Phase IIB, Segment 1",Date,"2 - Strategic and Business Results",,,,"Under target",Quarterly,,163427,"	44189",1.000000,"FID achieved on February 17, 2016",2016-02-17,y,2017-11-07,15:50:51
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",24994,"	44318","Completion of Work Stream / Integrated Product Team Performance deliverables",Number,"2 - Strategic and Business Results",,20.000000,,"Over target",Monthly,,196793,"	52807",8.000000,"FY 2017 Target is for a total of 20. Current delivery (8 cumulative total) is in line with time phased schedule.",2017-04-30,y,2017-09-15,14:18:13
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",24995,"	44319","Completion of Business Process Consolidation Analysis deliverables",Number,"2 - Strategic and Business Results",,1.000000,0.000000,"Over target",Semi-Annual,"021APG18090 - Reduce Aviation-Related Fatalities",226782,"	72247",3.000000,,2018-03-31,y,2018-09-18,13:05:25
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",24996,"	44320","Software Bugs per Thousand Source Lines of Code (KSLOC)",Number,"2 - Strategic and Business Results",,25.000000,25.000000,"Under target",Monthly,"021APG18090 - Reduce Aviation-Related Fatalities",235902,"	80097",16.290000,,2018-10-31,n,2018-09-18,13:05:25
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",25201,"	47258","Safety Assurance System (SAS) measurement of contact and awareness of SASO ",Number,"1 - Customer Satisfaction (Process Results)",,4.000000,0.000000,"Over target",Semi-Annual,"021APG18090 - Reduce Aviation-Related Fatalities",216411,"	70131",3.370000,"The Program Office is developing a remediation plan to increase SAS approval with end users.",2017-11-16,y,2018-09-18,13:05:25
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",26345,"	66922","Phase IIB Segment 1a requirements growth not to exceed 10% of baseline requirements",Percent,"2 - Strategic and Business Results",,10.000000,10.000000,"Under target",Quarterly,"021APG18090 - Reduce Aviation-Related Fatalities",232639,"	79510",0.000000,,2018-08-31,n,2018-09-18,13:05:25
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",26346,"	66937","Phase IIB Segment 1a estimate at completion not to exceed 10% of baseline change decision",Percent,"3 - Financial Performance",,10.000000,10.000000,"Under target",Monthly,"021APG18090 - Reduce Aviation-Related Fatalities",235903,"	80096",1.009000,,2018-10-31,n,2018-09-18,13:05:25
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",27410,"	75934","Completion of Acquisition Program Baseline milestones",Number,"2 - Strategic and Business Results",,0.000000,1.000000,"Over target",Annual,"021APG18090 - Reduce Aviation-Related Fatalities",,,,,,n,2018-09-18,13:05:25
021-189475443,376,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX612: System Approach for Safety Oversight (SASO)",27411,"	77531","Safety Assurance System Availability and Satisfaction",Percent,"1 - Customer Satisfaction (Process Results)",,0.000000,40.000000,"Over target",Semi-Annual,"021APG18090 - Reduce Aviation-Related Fatalities",,,,,,n,2018-09-18,13:05:25
021-113910548,377,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX709: Runway Status Lights (RWSL) Implementation",7759,"	4645","Sum of Category A&B Runway Incursions at the 17 RWSL airports during a rolling past 12 month period.",Number,"2 - Strategic and Business Results",,5.000000,3.000000,"Under target",Monthly,"021APG18090 - Reduce Aviation-Related Fatalities",235049,"	79894",0.000000,,2018-09-19,n,2018-09-18,13:12:18
021-113910548,377,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX709: Runway Status Lights (RWSL) Implementation",7761,"	4646","Sum of Runway Incursions Caused by Pilot Deviations at the 17 RWSL airports during a rolling past 12 month period.",Number,"2 - Strategic and Business Results",,100.000000,100.000000,"Under target",Monthly,"021APG18090 - Reduce Aviation-Related Fatalities",235050,"	79895",50.000000,,2018-09-19,n,2018-09-18,13:12:18
021-113910548,377,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX709: Runway Status Lights (RWSL) Implementation",21987,"	31023","Number of runway incursions caused by Pilot Deviations in a rolling past 12 month period when RWSL failed to illuminate as it should have, reported as number of missed operations.",Number,"2 - Strategic and Business Results",,10.000000,5.000000,"Under target",Monthly,"021APG18090 - Reduce Aviation-Related Fatalities",235052,"	79896",0.000000,,2018-09-19,n,2018-09-18,13:12:18
021-113910548,377,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX709: Runway Status Lights (RWSL) Implementation",21989,"	31024","Sum of Collisions at the 17 RWSL airports during a six month period.",Number,"1 - Customer Satisfaction (Process Results)",,,,"Under target",Semi-Annual,,141925,"	35012",10.000000,,2015-04-30,y,2017-11-07,15:50:51
021-113910548,377,"01 - Major IT","01 - Not Applicable","	021","Department of Transportation","FAAXX709: Runway Status Lights (RWSL) Implementation",21991,"	31025","System availability based on the system health status, calculated as the operational periods divided by observed failures.",Percentage,"1 - Customer Satisfaction (Process Results)",,98.000000,98.000000,"Over target",Monthly,"021APG18095 - Improve Conditions of America's Transportation Related Infrastructure",235908,"	80137",98.463000,,2018-11-30,n,2018-09-18,13:12:18
